Less than one year,58158
One year,58020
Two years,58719
Three years,59970
Four years,60054
Five years,64164
Six years,63531
Seven years,65085
Eight years,65289
Nine years,64563
10 years,64962
11 years,62151
12 years,59865
13 years,59679
14 years,59190
15 years,58398
16 years,60108
17 years,62334
18 years,60933
19 years,60048
20 years,61956
21 years,62382
22 years,63699
23 years,64197
24 years,65166
25 years,68325
26 years,69627
27 years,70848
28 years,68418
29 years,67248
30 years,66876
31 years,63813
32 years,62847
33 years,61896
34 years,61602
35 years,61359
36 years,59571
37 years,59037
38 years,58557
39 years,56871
40 years,56517
41 years,56760
42 years,57006
43 years,59844
44 years,61218
45 years,63939
46 years,65271
47 years,64956
48 years,63942
49 years,63375
50 years,62034
51 years,60645
52 years,60669
53 years,61833
54 years,63408
55 years,63894
56 years,62463
57 years,60735
58 years,58629
59 years,57030
60 years,55539
61 years,53571
62 years,52215
63 years,50673
64 years,48903
65 years,48318
66 years,46455
67 years,45678
68 years,44778
69 years,43803
70 years,43809
71 years,41526
72 years,35760
73 years,32496
74 years,30045
75 years,28332
76 years,29481
77 years,27885
78 years,24519
79 years,22575
80 years,20325
81 years,18507
82 years,16500
83 years,15837
84 years,14193
85 years,12939
86 years,12003
87 years,11238
88 years,9618
89 years,8181
90 years,6828
91 years,5745
92 years,4710
93 years,3693
94 years,2841
95 years,2079
96 years,1587
97 years,1110
98 years,708
99 years,426
100 years,246
101 years,168
102 years,102
103 years,57
104 years,33
105 years,18
106 years,12
107 years,3
108 years,3
109 years,3
110 years,0
111 years,0
112 years,0
113 years,0
114 years,0
115 years,0
116 years,0
117 years,0
118 years,0
119 years,0
